map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
025_552,2039438.890534,0.019100,0.494300,0.093600,7,0.500000,5.689200,0.406400,5,0.087900,0.082200,0.073400,0.070800,0.015100,0.069600,0.017000,9.432700,0.029900,0.030200,-0.000300,0.016300,4.620600,0.330000,3.531800,4.620600,0.330000,16.373400,0.599700,0.563800,0.000000,5,5.955400,5,0.362700,0.172400,1.374500,2.387200,56,44,50,32,0
026_553,2569333.840611,0.019300,0.494300,0.048500,7,0.500000,6.321200,0.451500,6,0.042800,0.037100,0.023600,0.022700,0.004900,0.022200,0.005700,2.564300,0.003800,0.003400,0.000400,-0.000200,5.736200,0.409700,4.347800,5.736200,0.409700,8.479200,0.571500,0.564200,0.000000,5,7.347300,5,0.350300,0.163800,1.371200,2.444300,79,55,50,28,0
027_554,2339255.447152,0.014900,0.494300,0.076200,7,0.500000,5.933000,0.423800,6,0.070500,0.064800,0.060200,0.059400,0.017400,0.058800,0.017800,8.843900,0.028500,0.029000,-0.000500,0.016100,3.508500,0.250600,2.800400,3.508500,0.250600,13.328300,0.599900,0.584000,0.000000,5,7.479800,5,0.336300,0.171600,1.391300,2.387600,65,33,50,26,0
028_555,2346715.233768,0.018700,0.494300,0.098800,7,0.500000,5.616900,0.401200,5,0.093100,0.087400,0.086200,0.083900,0.023200,0.082800,0.020100,11.576500,0.041100,0.039600,0.001500,0.020600,2.678900,0.191400,2.205700,2.678900,0.191400,17.276300,0.618100,0.576800,0.860200,5,6.616400,5,0.363200,0.184000,1.398700,2.496000,53,26,58,33,0
029_556,2222362.783573,0.018900,0.494300,-0.006400,7,0.500000,7.089500,0.506400,6,-0.012100,-0.017800,-0.024000,-0.024000,-0.007800,-0.024300,-0.010200,-3.090900,-0.000900,-0.000600,-0.000300,-0.012800,3.848600,0.274900,3.085700,3.848600,0.274900,-1.117500,0.589200,0.576300,0.000000,5,7.625300,5,0.370200,0.174400,1.403900,2.392200,97,37,50,34,0
030_557,2313307.638871,0.017600,0.494300,0.100300,7,0.500000,5.596400,0.399700,5,0.094500,0.088800,0.080100,0.078800,0.018900,0.078200,0.024300,11.794800,0.022400,0.021300,0.001100,0.021400,4.645900,0.331800,3.532600,4.645900,0.331800,17.532500,0.617100,0.575600,0.805100,5,7.560800,5,0.364200,0.167900,1.356600,2.448800,53,44,58,32,1
031_560,2243273.311973,0.017900,0.494300,0.023400,7,0.500000,6.672200,0.476600,7,0.017700,0.012000,0.004700,0.005200,0.001600,0.005000,0.001500,-0.308000,0.001400,-0.000300,0.001700,-0.008100,3.934000,0.281000,3.272600,3.934000,0.281000,4.094700,0.570300,0.585200,0.774200,5,6.783900,5,0.383900,0.168400,1.371400,2.387100,91,37,58,36,0
032_561,2466543.388973,0.015500,0.494300,0.016300,7,0.500000,6.771800,0.483700,7,0.010600,0.004900,-0.003500,-0.003000,-0.000900,-0.003000,-0.002900,-0.432800,-0.002800,-0.004000,0.001200,-0.008000,4.432200,0.316600,3.460900,4.432200,0.316600,2.850400,0.588600,0.602400,0.000000,5,8.685300,5,0.388900,0.182300,1.388100,2.447200,95,42,50,38,0
033_563,2294866.780409,0.018600,0.494300,0.036300,7,0.500000,6.491400,0.463700,6,0.030600,0.024900,0.015400,0.014700,0.003700,0.014200,0.003600,1.817900,0.014700,0.014000,0.000700,-0.002100,4.623400,0.330200,3.660600,4.623400,0.330200,6.353400,0.586400,0.576100,0.961300,5,6.718800,5,0.351000,0.142600,1.400900,2.505500,85,44,60,26,0
034_564,2376464.557734,0.018900,0.494300,0.063500,7,0.500000,6.110400,0.436500,6,0.057800,0.052100,0.041700,0.041000,0.009800,0.040500,0.011800,5.465400,0.014000,0.013100,0.000900,0.006300,4.840200,0.345700,3.814600,4.840200,0.345700,11.112400,0.588600,0.578100,0.000000,5,7.502900,5,0.354600,0.167300,1.406100,2.382100,71,46,50,30,0
